model,generated_total,valid_rate,unique_valid,filtered_candidates,full_lipinski_pass_rate,avg_lipinski_score,avg_similarity_to_seed,novelty_rate
Baseline Mutation Tuned,500,0.038,13,9,0.7777777777777778,3.6666666666666665,0.21477289359114554,0.07692307692307693
LSTM Generator Tuned,500,0.024,7,0,0.0,0.0,0.0,1.0
