epoch,train_loss,val_loss
1,3.5580387115478516,3.409282684326172
2,3.2409726778666177,2.892564535140991
3,2.7543426354726157,2.687263250350952
4,2.638457934061686,2.6338112354278564
5,2.5502351919809976,2.527381420135498
6,2.4665399392445884,2.4184975624084473
7,2.318574587504069,2.3171298503875732
8,2.281862497329712,2.2074880599975586
9,2.1067585945129395,2.0977835655212402
10,1.9944392442703247,2.0171244144439697
11,1.9486664136250813,1.9142934083938599
12,1.944700837135315,1.8430618047714233
13,1.7242869138717651,1.787813425064087
14,1.6613951524098713,1.720354437828064
15,1.6618382533391316,1.6710431575775146
16,1.468612790107727,1.6326197385787964
17,1.557217280069987,1.5909918546676636
18,1.5287511746088664,1.559484601020813
19,1.332870642344157,1.5445640087127686
20,1.3773632844289143,1.5122476816177368
