epoch,train_loss,val_loss
1,3.560177206993103,3.4747536182403564
2,3.4259074926376343,3.28464412689209
3,3.1083061695098877,2.908005714416504
4,2.7520653009414673,2.8139023780822754
5,2.771706461906433,2.684460163116455
6,2.619820237159729,2.6189534664154053
7,2.5030776262283325,2.5844204425811768
8,2.489809513092041,2.5184192657470703
9,2.4453550577163696,2.4434351921081543
10,2.4418320655822754,2.372575521469116
