model,generated_total,valid_rate,unique_valid,full_lipinski_pass_rate,avg_lipinski_score,avg_similarity_to_seed,novelty_rate
Baseline Mutation,500,0.044,16,0.875,3.8125,0.1526027042938975,0.25
LSTM Generator,500,0.028,6,1.0,4.0,0.010416666666666666,1.0
